,country,country_code,date_added,has_expired,job_board,job_description,job_title,job_type,location,organization,page_url,salary,sector,uniq_id,state
1066,United States of America,US,,No,jobs.monster.com,business analyst (ui/ux),business analyst (ui/ux),Full Time Temporary/Contract/Project,"Dallas, TX",Technology,http://jobview.monster.com/business-analyst-ui-ux-job-dallas-tx-us-168964102.aspx?mescoid=1500123001001&jobPosition=7,35.00 - 50.00 $ /hour,IT/Software Development,877bf957fdc9153fea0d587ad410715f,TX
1122,United States of America,US,,No,jobs.monster.com,senior business analyst job in juno beach,senior business analyst job in juno beach,"Full Time, Temporary/Contract/Project","Juno Beach, FL 33408",Other/Not Classified,http://jobview.monster.com/senior-business-analyst-job-juno-beach-fl-us-168926948.aspx?mescoid=1300087001001&jobPosition=6,,Experienced (Non-Manager),bc581013726748a87fc881043546c1f2,FL
1130,United States of America,US,,No,jobs.monster.com,senior analytics lead - dallas job in dallas,senior analytics lead - dallas job in dallas,Full Time Employee,"Dallas, TX 75205",Technology,http://jobview.monster.com/senior-analytics-lead-dallas-job-dallas-tx-us-168973161.aspx?mescoid=1100055001001&jobPosition=9,,IT/Software Development,92cb51ab801192d3841f70ee81ae4aef,TX
1194,United States of America,US,,No,jobs.monster.com,data analyst ii job in richland,data analyst ii job in richland,Full Time Employee,"Richland, SC",Technology,http://jobview.monster.com/data-analyst-ii-job-richland-sc-us-168998771.aspx?mescoid=1300087001001&jobPosition=1,,Experienced (Non-Manager),08ae44d10a34366c0ff9133de7283948,SC
1247,United States of America,US,,No,jobs.monster.com,senior business analyst erp job in mangonia park,senior business analyst erp job in mangonia park,"Full Time, Employee","Mangonia Park, FL 33407",Technology,http://jobview.monster.com/senior-business-analyst-erp-job-mangonia-park-fl-us-168967867.aspx?mescoid=1300087001001&jobPosition=6,,IT/Software Development,5ccab77ca8465b0794219d5654c42d60,FL
1250,United States of America,US,,No,jobs.monster.com,data analyst job in irving,data analyst job in irving,Full Time Temporary/Contract/Project,"Irving, TX",Technology,http://jobview.monster.com/data-analyst-job-irving-tx-us-168963926.aspx?mescoid=1300087001001&jobPosition=5,0.00 - 20.00 $ /hour,IT/Software Development,fc43fddd648a256769af027388dbb1fc,TX
1293,United States of America,US,,No,jobs.monster.com,professional quality assurance big data job in middletown,professional quality assurance big data job in middletown,,"Middletown, NJ",,http://jobview.monster.com/professional-quality-assurance-big-data-job-middletown-nj-us-167029570.aspx?mescoid=1900306001001&jobPosition=16,,,7296bfeadd3719e846eef73471d1c05e,NJ
1305,United States of America,US,,No,jobs.monster.com,casino analytics lead job in miami,casino analytics lead job in miami,"Full Time, Temporary/Contract/Project","Miami, FL 33132",Other/Not Classified,http://jobview.monster.com/casino-analytics-lead-job-miami-fl-us-168972387.aspx?mescoid=1100055001001&jobPosition=19,,Experienced (Non-Manager),1cb09e1c97c591415a2b42f3202174fa,FL
1346,United States of America,US,,No,jobs.monster.com,database administrator iii job in memphis,database administrator iii job in memphis,"Full Time, Employee","Memphis, TN",Accounting and Auditing Services,http://jobview.monster.com/database-administrator-iii-job-memphis-tn-us-168513077.aspx?mescoid=1500130001001&jobPosition=17,,IT/Software Development,fae44f5bfb5a63977ca30cb38c7e4ee4,TN
1377,United States of America,US,,No,jobs.monster.com,it business analyst - hs job in pleasanton,it business analyst - hs job in pleasanton,Full Time Employee,"Pleasanton, CA",Technology,http://jobview.monster.com/it-business-analyst-hs-job-pleasanton-ca-us-169021587.aspx?mescoid=1500123001001&jobPosition=19,,Experienced (Non-Manager),fd1842e579bc07accf829744195f78c3,CA
1392,United States of America,US,,No,jobs.monster.com,sr. analytical development chemist job in houston,sr. analytical development chemist job in houston,"Full Time, Employee","Houston, TX 77054",,http://jobview.monster.com/sr-analytical-development-chemist-job-houston-tx-us-173558126.aspx?mescoid=1900259001001&jobPosition=20,,,b9b6f9573e7c7b735b7e3c50b541e516,TX
1408,United States of America,US,,No,jobs.monster.com,statistician/bayesian,statistician/bayesian,"Full Time, Employee","Bridgewater, NJ 08807",Biotechnology/Pharmaceuticals,http://jobview.monster.com/statistician-bayesian-heor-outcome-research-sas-programmer-sdtm-job-bridgewater-nj-us-173239291.aspx?mescoid=1500127001001&jobPosition=18,"80,000.00 - 220,000.00 $ /year",Biotech/R&D/Science,07b269e9cf339d7a263e4024d2287d23,NJ
1418,United States of America,US,,No,jobs.monster.com,applied mathematician (analytic modeling) job in columbia,applied mathematician (analytic modeling) job in columbia,Full Time,"Columbia, MD 21044",Aerospace and Defense,http://jobview.monster.com/applied-mathematician-analytic-modeling-job-columbia-md-us-173431332.aspx?mescoid=1500150001001&jobPosition=14,,Experienced (Non-Manager),18bdf004da76479c40af1c13d961c1f6,MD
1427,United States of America,US,,No,jobs.monster.com,senior statistician job in mahwah,senior statistician job in mahwah,"Full Time, Employee","Mahwah, NJ",Biotechnology/Pharmaceuticals,http://jobview.monster.com/senior-statistician-job-mahwah-nj-us-173483476.aspx?mescoid=1500152001001&jobPosition=8,,Biotech/R&D/Science,7fbe2778b2159c8a90a121673ce0f547,NJ
1433,United States of America,US,,No,jobs.monster.com,sr. machine learning scientist job in seattle,sr. machine learning scientist job in seattle,Full Time Employee,"Seattle, WA",Biotechnology/Pharmaceuticals,http://jobview.monster.com/sr-machine-learning-scientist-job-seattle-wa-us-173244813.aspx?mescoid=1900267001001&jobPosition=17,,Biotech/R&D/Science,f8df49f586c1040f86e18d51ef7ee562,WA
1500,United States of America,US,,No,jobs.monster.com,data analyst- plano job in plano,data analyst- plano job in plano,"Full Time, Temporary/Contract/Project","Plano, TX 75023",Other/Not Classified,http://jobview.monster.com/data-analyst-plano-job-plano-tx-us-176543227.aspx?mescoid=1300087001001&jobPosition=8,,Experienced (Non-Manager),fbb20081308b534c7a52708935448a05,TX
1514,United States of America,US,,No,jobs.monster.com,"diedre moire corp. job application for bioinformatics statistician | monster.com var mons_log_vars = {""jobid"":","diedre moire corp. job application for bioinformatics statistician | monster.com var mons_log_vars = {""jobid"":","Full Time, Employee","Bioinformatics Statistician - Kansas City, MOSeeking Biostatistician to independently perform a variety of advanced bio-statistical and technical activities for the design, implementation, analysis and interpretation of statistical data gathered from phase I-IV clinical trials.   Shall:   *** Create and present: analysis plans, table shells, programming and table specifications, data review, tables, listings, figures and statistical sections for integrated reports   *** Manage data deliverables: database design, validation checks and critical data.   Candidate must have an advanced degree and at least 2 years experience performing similar duties on S-Plus, SUDAAN, StatXact or similar statistical analysis software.   Join a company focused on the future. We offer extremely generous employment packages including significant upside stock participation, company match 401(k), extensive perquisites, and the ability to work with award winning, Ivy League professionals, in an environment that strives to stay on the cutting edge of business and technology.   For details contact Branden F. Lynch at: (609) 584-9000 ext 241    Or submit resume online at: http://dmc9.com/bfl/app.asp   Or email to:  1000025577_10007337@jobbank302.com    Please reference #37110214 when responding.Education Requirements: Master DegreeMinimum Experience Requirements: 2-5 yearsJob City Location: Kansas CityJob State Location: MOJob Country Location: USASalary Range: $80,000 to $130,000WE ARE AN EQUAL OPPORTUNITY EMPLOYER and our employment decisions are made without regard to race, color, religion, age, sex, national origin, handicap, disability or marital status. We reasonably accommodate individuals with handicaps, disabilities and bona fide religious beliefs. Jobs Career Position Hiring. CONSIDERED EXPERIENCE INCLUDES: Biostatistician Clinical Biostatistician S+ SUDAAN StatXact SAS Statistical Analysis Software MS M.S. PHD Phd Ph.d Ph.D Biostatistics S-Plus Bioinformatics Statistician  DISCLAIMER: We will make every effort to consider applications for all available positions and shall use one or more of the contact methods and addresses indicated in resume or online application. Indicated location may be proximate or may be desirable point of embarkation for paid or unpaid relocation to another venue. Job descriptions may fit single or multiple presently available or anticipated positions and are NOT an offer of employment or contract implied or otherwise. Described compensation is not definite nor precise and may be estimated and approximate and is negotiable depending on market conditions and candidate availability and other factors and is solely at the discretion of employers. Linguistics used herein may use First Person Singular and First Person Plural grammatical person construction for and with the meaning of Third Person Singular and Third Person Plural references. We reserves the right to amend and change responsibilities to meet business and organizational needs as necessary. Response to a specific posting or advertisement may result in consideration for other opportunities and not necessarily the incentive or basis of the response. Nothing herein is or may be considered a promise, guarantee, offer, pledge, agreement, contract, or oath.  If you submit an application or resume which contains your email address, we will use that email address to communicate with you about this and other positions. We use an email quality control service to maintain security and a remove and dead address filter. To cancel receiving email communications, simply send an email from your address with the word ""remove"" in the subject line to pleaseremove@candseek4.com Or, visit the website at www.jobbankremove.com If you have further concern regarding email received from us, call (609) 584-5499.",,http://jobview.monster.com/bioinformatics-statistician-job-kansas-city-mo-us-176618876.aspx?mescoid=1500152001001&jobPosition=17,,,0ec49001a87b3a52021d444e53d87f7d,MS
1558,United States of America,US,,No,jobs.monster.com,machine learner researcher job in plymouth meeting,machine learner researcher job in plymouth meeting,Full Time,"Plymouth Meeting, PA 19462",Other/Not Classified,http://jobview.monster.com/machine-learner-researcher-job-plymouth-meeting-pa-us-176599660.aspx?mescoid=1900267001001&jobPosition=8,,Experienced (Non-Manager),932cfd3979fb6e4e154c0a00f0c0aae2,PA
1615,United States of America,US,,No,jobs.monster.com,"diedre moire corp. job application for biostatistician - clinical support | monster.com var mons_log_vars = {""jobid"":","diedre moire corp. job application for biostatistician - clinical support | monster.com var mons_log_vars = {""jobid"":","Full Time, Employee","Biostatistician - Clinical Support - Lincoln, NEWorking closely with clinical data managers, the Biostatistician shall be responsible for supporting the collection, analysis, and reporting of clinical data from phase I-IV clinical studies.   Must be familiar operating at least one if not all of the following or similar statistical analysis software:   *** S-Plus   *** SUDAAN   *** StatXact   Additionally shall be in charge of authoring statistical sections of study reports.   Candidate must possess advanced degree and at least 2 years relevant work experience.   High growth visible position with top company. Salary $80,000 to $130,000 plus bonus plan; company paid full family coverage medical, dental, prescription and vision; matched 401(k); stock; tuition reimbursement and more.   For details contact Branden F. Lynch at: (609) 584-9000 ext 241    Or submit resume online at: http://dmc9.com/bfl/app.asp   Or email to:  1000025579_10007337@jobbank302.com    Please reference #37110236 when responding.Education Requirements: Master DegreeMinimum Experience Requirements: 2-5 yearsJob City Location: LincolnJob State Location: NEJob Country Location: USASalary Range: $80,000 to $130,000WE ARE AN EQUAL OPPORTUNITY EMPLOYER and our employment decisions are made without regard to race, color, religion, age, sex, national origin, handicap, disability or marital status. We reasonably accommodate individuals with handicaps, disabilities and bona fide religious beliefs. Jobs Career Position Hiring. CONSIDERED EXPERIENCE INCLUDES: Biostatistician Clinical Biostatistician S+ SUDAAN StatXact SAS Statistical Analysis Software MS M.S. PHD Phd Ph.d Ph.D Biostatistics S-Plus Bioinformatics Statistician  DISCLAIMER: We will make every effort to consider applications for all available positions and shall use one or more of the contact methods and addresses indicated in resume or online application. Indicated location may be proximate or may be desirable point of embarkation for paid or unpaid relocation to another venue. Job descriptions may fit single or multiple presently available or anticipated positions and are NOT an offer of employment or contract implied or otherwise. Described compensation is not definite nor precise and may be estimated and approximate and is negotiable depending on market conditions and candidate availability and other factors and is solely at the discretion of employers. Linguistics used herein may use First Person Singular and First Person Plural grammatical person construction for and with the meaning of Third Person Singular and Third Person Plural references. We reserves the right to amend and change responsibilities to meet business and organizational needs as necessary. Response to a specific posting or advertisement may result in consideration for other opportunities and not necessarily the incentive or basis of the response. Nothing herein is or may be considered a promise, guarantee, offer, pledge, agreement, contract, or oath.  If you submit an application or resume which contains your email address, we will use that email address to communicate with you about this and other positions. We use an email quality control service to maintain security and a remove and dead address filter. To cancel receiving email communications, simply send an email from your address with the word ""remove"" in the subject line to pleaseremove@candseek4.com Or, visit the website at www.jobbankremove.com If you have further concern regarding email received from us, call (609) 584-5499.",,http://jobview.monster.com/biostatistician-clinical-support-job-lincoln-ne-us-176618990.aspx?mescoid=3100556001001&jobPosition=15,,,8a02804428f7923f4ff0dfcfa83b2418,MS
1652,United States of America,US,,No,jobs.monster.com,"diedre moire corp. job application for clinical biostatistician | monster.com var mons_log_vars = {""jobid"":","diedre moire corp. job application for clinical biostatistician | monster.com var mons_log_vars = {""jobid"":","Full Time, Employee","Clinical Biostatistician - Omaha, NESeeking Clinical Biostatistician with an advanced degree and at least 2 years experience operating SAS software such as S-Plus, SUDAAN, StatXact, or similar statistical analysis software to utilize clinical data to generate:   *** Study design.   *** Sample size estimation.   *** Patient randomization.   *** Statistical analyses.   *** Interpretation of data and reporting of results.   Additionally, provide statistical analysis plans, including the definition of derived data sets, and the design of statistical tables, figures, and data listings for clinical summary reports.   Great employees are key to success. As such, we are offering this amazing opportunity to join a team of industry renowned professionals in a tech savvy, forward thinking environment. Employment packages include: full coverage medical and dental, company match 401(k), stock participation, and much much more. Come join a company focused on grooming our employees for executive positions while enjoying the benefits of this highly visible role.   For details contact Branden F. Lynch at: (609) 584-9000 ext 241    Or submit resume online at: http://dmc9.com/bfl/app.asp   Or email to:  1000025578_10007337@jobbank302.com     Please reference #37110258 when responding.Education Requirements: Master DegreeMinimum Experience Requirements: 2-5 yearsJob City Location: OmahaJob State Location: NEJob Country Location: USASalary Range: $80,000 to $130,000WE ARE AN EQUAL OPPORTUNITY EMPLOYER and our employment decisions are made without regard to race, color, religion, age, sex, national origin, handicap, disability or marital status. We reasonably accommodate individuals with handicaps, disabilities and bona fide religious beliefs. Jobs Career Position Hiring. CONSIDERED EXPERIENCE INCLUDES: Biostatistician Clinical Biostatistician S+ SUDAAN StatXact SAS Statistical Analysis Software MS M.S. PHD Phd Ph.d Ph.D Biostatistics S-Plus Bioinformatics Statistician  DISCLAIMER: We will make every effort to consider applications for all available positions and shall use one or more of the contact methods and addresses indicated in resume or online application. Indicated location may be proximate or may be desirable point of embarkation for paid or unpaid relocation to another venue. Job descriptions may fit single or multiple presently available or anticipated positions and are NOT an offer of employment or contract implied or otherwise. Described compensation is not definite nor precise and may be estimated and approximate and is negotiable depending on market conditions and candidate availability and other factors and is solely at the discretion of employers. Linguistics used herein may use First Person Singular and First Person Plural grammatical person construction for and with the meaning of Third Person Singular and Third Person Plural references. We reserves the right to amend and change responsibilities to meet business and organizational needs as necessary. Response to a specific posting or advertisement may result in consideration for other opportunities and not necessarily the incentive or basis of the response. Nothing herein is or may be considered a promise, guarantee, offer, pledge, agreement, contract, or oath.  If you submit an application or resume which contains your email address, we will use that email address to communicate with you about this and other positions. We use an email quality control service to maintain security and a remove and dead address filter. To cancel receiving email communications, simply send an email from your address with the word ""remove"" in the subject line to pleaseremove@candseek4.com Or, visit the website at www.jobbankremove.com If you have further concern regarding email received from us, call (609) 584-5499.",,http://jobview.monster.com/clinical-biostatistician-job-omaha-ne-us-176618935.aspx?mescoid=1500153001001&jobPosition=16,,,fbdc768266c978f288bc65e1cf6b2d00,MS
1830,United States of America,US,,No,jobs.monster.com,immunoassay bioanalytical project manager job in marietta,immunoassay bioanalytical project manager job in marietta,Full Time Employee,"Marietta, GA 30008",Marketing/Product,http://jobview.monster.com/immunoassay-bioanalytical-project-manager-job-marietta-ga-us-177697660.aspx?mescoid=1300093001001&jobPosition=8,,Marketing/Product,ff1851fcd189c46ee2500c957855c1b0,GA
1861,United States of America,US,,No,jobs.monster.com,business analyst - atlanta,business analyst - atlanta,Full Time Employee,"Atlanta, GA",,http://jobview.monster.com/business-analyst-atlanta-ga-job-atlanta-ga-us-177278126.aspx?mescoid=1300087001001&jobPosition=10,,,0786dad7a65e5bf8765034dc6a7a4702,GA
1879,United States of America,US,,No,jobs.monster.com,business analyst (w/ sharepoint development exp.) job in atlanta,business analyst (w/ sharepoint development exp.) job in atlanta,"Full Time, Employee","Atlanta, GA",Technology,http://jobview.monster.com/business-analyst-w-sharepoint-development-exp-job-atlanta-ga-us-178344319.aspx?mescoid=1300087001001&jobPosition=15,,IT/Software Development,205b0026f3438b9b90f6aab421e18f1d,GA
1896,United States of America,US,,No,jobs.monster.com,business analyst / tableau developer job in atlanta,business analyst / tableau developer job in atlanta,"Full Time, Employee","Atlanta, GA",Technology,http://jobview.monster.com/business-analyst-tableau-developer-job-atlanta-ga-us-178006535.aspx?mescoid=1300087001001&jobPosition=11,,IT/Software Development,74a2ef6fba788965b84f9594871c7de9,GA
1899,United States of America,US,,No,jobs.monster.com,business analyst job in austin,business analyst job in austin,"Full Time, Temporary/Contract/Project","Austin, TX 78701",Other/Not Classified,http://jobview.monster.com/business-analyst-job-austin-tx-us-178326595.aspx?mescoid=1300087001001&jobPosition=15,,Experienced (Non-Manager),ddd336e042e7fb4c051fd69cd7a5c3a0,TX
2000,United States of America,US,,No,jobs.monster.com,hai prevention data analyst job in atlanta,hai prevention data analyst job in atlanta,Full Time Employee,"Atlanta, GA",Technology,http://jobview.monster.com/hai-prevention-data-analyst-job-atlanta-ga-us-177893536.aspx?mescoid=1300087001001&jobPosition=17,,IT/Software Development,4ec8f3710926259757a74bf3e4290a77,GA
2025,United States of America,US,,No,jobs.monster.com,corporate pricing manager/business analytics job in sylmar,corporate pricing manager/business analytics job in sylmar,Full Time,"Sylmar, CA 91342",Manager (Manager/Supervisor of Staff),http://jobview.monster.com/corporate-pricing-manager-business-analytics-job-sylmar-ca-us-165728114.aspx?mescoid=1300087001001&jobPosition=8,"70,000.00 - 90,000.00 $ /year",Manager (Manager/Supervisor of Staff),76940f1bbd6c67353b5f12a771d46ca3,CA
2165,United States of America,US,,No,jobs.monster.com,director of business intelligence job in sunrise,director of business intelligence job in sunrise,Full Time Employee,"Sunrise, FL",Business/Strategic Management,http://jobview.monster.com/director-of-business-intelligence-job-sunrise-fl-us-172055697.aspx?mescoid=1100011001001&jobPosition=12,,Business/Strategic Management,5d41fedbf766a13838cf330fee70220d,FL
2169,United States of America,US,,No,jobs.monster.com,business intelligence analyst (transportation) () job in warsaw,business intelligence analyst (transportation) () job in warsaw,Full Time Employee,"Warsaw, IN",Business/Strategic Management,http://jobview.monster.com/business-intelligence-analyst-transportation-547432-job-warsaw-in-us-172021327.aspx?mescoid=1500144001001&jobPosition=9,,Business/Strategic Management,76d098970160929fe81bcacff9c37e4b,IN
2434,United States of America,US,,No,jobs.monster.com,data analyst job in houston,data analyst job in houston,Full Time Temporary/Contract/Project,"Houston, TX 77042",Accounting/Finance/Insurance,http://jobview.monster.com/data-analyst-job-houston-tx-us-174076129.aspx?mescoid=1300087001001&jobPosition=2,,Accounting/Finance/Insurance,6bf6d428f2c79379f0c819d0f24063aa,TX
2576,United States of America,US,,No,jobs.monster.com,sr. business intelligence architect job in milwaukee,sr. business intelligence architect job in milwaukee,"Full Time , Employee","Milwaukee, WI 53201",Business Services - Other,http://jobview.monster.com/sr-business-intelligence-architect-job-milwaukee-wi-us-157206086.aspx?mescoid=1500138001001&jobPosition=15,,Experienced (Non-Manager),b1a648c979291bbf9eea5fb746197a58,WI
2681,United States of America,US,,No,jobs.monster.com,business analyst - client services job in philadelphia,business analyst - client services job in philadelphia,Full Time,"Philadelphia, PA 19102",Technology,http://jobview.monster.com/Business-Analyst-Client-Services-Job-Philadelphia-PA-US-162079508.aspx?mescoid=4300715001001&jobPosition=14,,Experienced (Non-Manager),373caf159bef96905919fea0cad6d69b,PA
2737,United States of America,US,,No,jobs.monster.com,business analyst job in golden valley,business analyst job in golden valley,Full Time,"Golden Valley, MN 55416",Business Services - Other,http://jobview.monster.com/Business-Analyst-Job-Golden-Valley-MN-US-166125868.aspx?mescoid=1300087001001&jobPosition=12,,Experienced (Non-Manager),e3de70bf2db5018f291c3bc3cdd5750b,MN
2825,United States of America,US,,No,jobs.monster.com,big data architect ( positions) job in cincinnati,big data architect ( positions) job in cincinnati,"Full Time, Temporary/Contract/Project","Cincinnati, OH 45242",Technology,http://jobview.monster.com/Big-Data-Architect-2-positions-Job-Cincinnati-OH-US-166737973.aspx?mescoid=1500142001001&jobPosition=11,,IT/Software Development,38643fd7cce7eaa45b5e0bc6806b0201,OH
2932,United States of America,US,,No,jobs.monster.com,senior data scientist,senior data scientist,,"Senior Data Scientist - Python, R, Julia Job in San Francisco 94108, California US CyberCoders Search. Apply. Done. Learn more about CyberCoders Senior Data Scientist Apply San Francisco, CA Full-Time $120,000 - $175,000 Job Details If you are a Senior Data Scientist with experience at a product-driven technology company, please read on!Job Title: Senior Data ScientistLocation: San Francisco, CAThe Salary: $120k- 175kThe Company: We have created web and mobile tools to help users in areas such as cognitive training, sleep, and mindfulness. These tools include games for improving memory, attention, flexibility, speed of processing, and problem solving. We are the leading brain training program with more than 50 million users. Come join our team of brainiacs and help build cognitive features for members all over the world!!Top Reasons to Work with Us- Weekly all-hands lunches for anyone to present their work- High percentage of promotion from within -Regular team bonding events- Always creating new products for our more than 70 million usersWhat You Will Be Doing- Work with product managers and designers to develop new product features based on insights that you find in our database of more than 3 billion gameplays- Create insights for our users connecting their game performance with cognitive performances in real world measures - Build models to personalize and segment out training, customer experience, and product marketing efforts- Build analytical tools to get a deep understanding of our users, how they answer key our product and games, and business questions- Collaborate with Engineering teams to create prototypes and production-grade modelsWhat You Need for this PositionRequirements:Bachelors in Computer Science or EquivalentPreferred Master or PhD in Computer Science, Data Science, Human Cognition, Neuroscience, or Behavioral ScienceMore Than 5 Years of experience and knowledge of:- Python or R orJulia- Linear Modeling- Hierarchical Bayes- Ensemble Models- random forest, gradient boosting- Survival Modes- SparkPluses:-Background in human cognition, neuroscience, or other behavioral sciences- Experience building and deploying production-grade statistical and machine learning models- Longitudinal dataWhat's In It for You- Competitive Salary- Great work environment- Immediate hireSo, if you are a Senior Data Scientist with experience, please apply today! Applicants must be authorized to work in the U.S. Are you a good fit for this position? Amanda Wilson is recruiting for this position. Apply Job ID: AW2-1275226 Clicking the green apply button is the best way to apply, but you may also email me your resume in Word: Amanda.Wilson@CyberCoders.com **Please do NOT change the email subject line in any way. You must keep the JobID: CC MonsterAp: AW2-1275226 -- in the email subject line for your application to be considered.** Thank you, Amanda Wilson | Executive Recruiter | CyberCoders CyberCoders, Inc is proud to be an Equal Opportunity Employer All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law. Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Copyright © 1999 - 2016. CyberCoders, Inc. All rights reserved.",,http://jobview.monster.com/Senior-Data-Scientist-Python-R-Julia-Job-San-Francisco-CA-US-166702356.aspx?mescoid=1500152001001&jobPosition=9,,,1d628e2e85753239e989c38a3bb44ea0,CA
3109,United States of America,US,,No,jobs.monster.com,data specialist job in san antonio,data specialist job in san antonio,Full Time Employee,"San Antonio, TX 78245",Energy and Utilities,http://jobview.monster.com/Data-Specialist-Job-San-Antonio-TX-US-166755119.aspx?mescoid=4300761001001&jobPosition=4,,IT/Software Development,3e443a02e51dcb5ebed5495f39b08be5,TX
